PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
1	0.020086728925918135	HIF-1α-PHD_ass	0	1	49	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	0	49	50	0	1	0	
2	0.17398893101244176	HIF-1α-PHD_diss	0	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	0	50	50	0	1	0	
3	0.21663294443398562	anaerobic-metabolism	0	0	50	50	0	0	0	50	0	1	1	0	1	1	1	0	0	50	0	0	0	0	0	0	0	50	50	0	1	0	
4	0.3867384946950494	interface_HIF1α	0	0	50	50	0	0	0	50	0	1	1	0	1	1	1	0	0	50	0	0	0	0	0	0	0	51	50	0	1	0	
5	0.6657342447256873	interface_HIF1α	0	0	50	50	0	0	0	50	0	1	1	0	1	1	1	0	0	50	0	0	0	0	0	0	0	52	50	0	1	0	
6	0.818471232532822	anaerobic-metabolism	0	0	50	50	0	0	0	50	0	1	1	0	1	1	2	0	0	50	0	0	0	0	0	0	0	52	50	0	1	0	
7	0.8676132338574558	interface_HIF1α	0	0	50	50	0	0	0	50	0	1	1	0	1	1	2	0	0	50	0	0	0	0	0	0	0	53	50	0	1	0	
8	1.632467153828817	HIF-1α-PHD_ass	0	1	49	50	0	0	0	50	0	1	1	0	1	1	2	0	0	50	0	0	0	0	0	0	0	52	50	0	1	0	
9	2.1144445904096845	HIF-1α-PHD_ass	0	2	48	50	0	0	0	50	0	1	1	0	1	1	2	0	0	50	0	0	0	0	0	0	0	51	50	0	1	0	
10	2.2927651247164276	HIF-1α-PHD_diss	0	1	49	50	0	0	0	50	0	1	1	0	1	1	2	0	0	50	0	0	0	0	0	0	0	52	50	0	1	0	
11	2.4724936343973267	interface_HIF1α	0	1	49	50	0	0	0	50	0	1	1	0	1	1	2	0	0	50	0	0	0	0	0	0	0	53	50	0	1	0	
12	2.5251338209742293	HIF-1αβ_ass	0	1	49	49	1	0	0	50	0	1	1	0	1	1	2	0	0	50	0	0	0	0	0	0	0	52	50	0	1	0	
13	2.6367562977733225	HIF-1αβ_diss	0	1	49	50	0	0	0	50	0	1	1	0	1	1	2	0	0	50	0	0	0	0	0	0	0	53	50	0	1	0	
14	3.2432437536449794	HIF-1α-PHD_diss	0	0	50	50	0	0	0	50	0	1	1	0	1	1	2	0	0	50	0	0	0	0	0	0	0	54	50	0	1	0	
15	3.3315871969918076	anaerobic-metabolism	0	0	50	50	0	0	0	50	0	1	1	0	1	1	3	0	0	50	0	0	0	0	0	0	0	54	50	0	1	0	
16	3.356545006880165	anaerobic-metabolism	0	0	50	50	0	0	0	50	0	1	1	0	1	1	4	0	0	50	0	0	0	0	0	0	0	54	50	0	1	0	
17	3.5515902208935004	anaerobic-metabolism	0	0	50	50	0	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	54	50	0	1	0	
18	3.715421222967156	interface_HIF1α	0	0	50	50	0	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	55	50	0	1	0	
19	4.281110778102628	HIF-1α-PHD_ass	0	1	49	50	0	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	54	50	0	1	0	
20	4.689483703845932	HIF-1α-PHD_diss	0	0	50	50	0	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	55	50	0	1	0	
21	4.921471485801681	interface_HIF1α	0	0	50	50	0	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	56	50	0	1	0	
22	5.138322191855824	interface_HIF1α	0	0	50	50	0	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
23	5.144622452164663	interface_HIF1α	0	0	50	50	0	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	58	50	0	1	0	
24	5.387317171673003	HIF-1α-PHD_ass	0	1	49	50	0	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
25	5.659045194370494	interface_HIF1α	0	1	49	50	0	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	58	50	0	1	0	
26	5.812612176230712	HIF-1αβ_ass	0	1	49	49	1	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
27	5.813953927649697	HIF-1α-PHD_diss	0	0	50	49	1	0	0	50	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	58	50	0	1	0	
28	5.8717657876847875	HIF-1αβ-HRE_ass	0	0	50	49	0	1	0	49	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	58	50	0	1	0	
29	6.0259224697301255	HIF-1αβ_ass	0	0	50	48	1	1	0	49	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
30	6.146060531537144	HIF-1αβ-HRE_ass	0	0	50	48	0	2	0	48	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
31	6.23459372624829	HIF-1αβ-HRE_Transcription	0	0	50	48	0	2	1	48	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
32	6.285108689425305	interface_HIF1α	0	0	50	48	0	2	1	48	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	58	50	0	1	0	
33	7.119877103580667	HIF-1α-PHD_ass	0	1	49	48	0	2	1	48	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
34	7.290903560739395	HIF-1αβ_ass	0	1	49	47	1	2	1	48	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	56	50	0	1	0	
35	7.346697757853704	HIF-1αβ_diss	0	1	49	48	0	2	1	48	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
36	7.409031767421616	interface_HIF1α	0	1	49	48	0	2	1	48	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	58	50	0	1	0	
37	7.456311088574829	HIF-1α-PHD_ass	0	2	48	48	0	2	1	48	0	1	1	0	1	1	5	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
38	7.8131009369474445	anaerobic-metabolism	0	2	48	48	0	2	1	48	0	1	1	0	1	1	6	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
39	8.265084086714857	anaerobic-metabolism	0	2	48	48	0	2	1	48	0	1	1	0	1	1	7	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
40	8.297149681057945	HIF-1αβ_ass	0	2	48	47	1	2	1	48	0	1	1	0	1	1	7	0	0	50	0	0	0	0	0	0	0	56	50	0	1	0	
41	8.414522463367557	interface_HIF1α	0	2	48	47	1	2	1	48	0	1	1	0	1	1	7	0	0	50	0	0	0	0	0	0	0	57	50	0	1	0	
42	8.505624860288897	HIF-1αβ_diss	0	2	48	48	0	2	1	48	0	1	1	0	1	1	7	0	0	50	0	0	0	0	0	0	0	58	50	0	1	0	
43	8.534734401534006	HIF-1αβ-HRE_diss	0	2	48	48	1	1	1	49	0	1	1	0	1	1	7	0	0	50	0	0	0	0	0	0	0	58	50	0	1	0	
44	8.931219619760052	HIF-1α-PHD_diss	0	1	49	48	1	1	1	49	0	1	1	0	1	1	7	0	0	50	0	0	0	0	0	0	0	59	50	0	1	0	
45	9.16502231855287	HIF-1αβ-HRE_diss	0	1	49	48	2	0	1	50	0	1	1	0	1	1	7	0	0	50	0	0	0	0	0	0	0	59	50	0	1	0	
46	9.296326288409817	HIF-1α-PHD_diss	0	0	50	48	2	0	1	50	0	1	1	0	1	1	7	0	0	50	0	0	0	0	0	0	0	60	50	0	1	0	
47	9.332966879466055	interface_HIF1α	0	0	50	48	2	0	1	50	0	1	1	0	1	1	7	0	0	50	0	0	0	0	0	0	0	61	50	0	1	0	
48	9.346940599781645	anaerobic-metabolism	0	0	50	48	2	0	1	50	0	1	1	0	1	1	8	0	0	50	0	0	0	0	0	0	0	61	50	0	1	0	
49	9.869693335818441	interface_HIF1α	0	0	50	48	2	0	1	50	0	1	1	0	1	1	8	0	0	50	0	0	0	0	0	0	0	62	50	0	1	0	
50	9.903761554216546	interface_HIF1α	0	0	50	48	2	0	1	50	0	1	1	0	1	1	8	0	0	50	0	0	0	0	0	0	0	63	50	0	1	0	
51	9.9854128022206	mRNA_translation	0	0	50	48	2	0	0	50	0	1	1	0	1	1	8	0	0	50	0	0	0	0	0	1	0	63	50	0	1	0	
52	10.084579436419794	HIF-1αβ-PHD_ass	0	0	49	48	1	0	0	50	0	1	1	0	1	1	8	0	0	50	0	0	1	0	0	1	0	63	50	0	1	0	
53	10.105951852293996	HIF-1αβ-HRE_ass	0	0	49	48	0	1	0	49	0	1	1	0	1	1	8	0	0	50	0	0	1	0	0	1	0	63	50	0	1	0	
54	10.140206834331375	HIF-1αβ_ass	0	0	49	47	1	1	0	49	0	1	1	0	1	1	8	0	0	50	0	0	1	0	0	1	0	62	50	0	1	0	
